userId,username,totalPoints
7562902,"mrekk",4856.168092
12408961,"MALISZEWSKI",3982.721187
1719471,"EZChamp",2460.279936
8007528,"Raikouhou",1607.100044
11443437,"[Karcher]",1527.273800
8472976,"Suyung_",1369.857913
9849451,"NaPiii_",1281.598670
12159899,"MineFrostID",1205.217388
16817965,"Kamensh1k",1151.077224
14106450,"worst hr player",1098.566643
4504101,"WhiteCat",1071.563937
2165650,"mcy4",1056.279027
7512553,"Utami",1051.542554
3717598,"xootynator",951.956263
7341183,"ASecretBox",915.012196
5182050,"Bubbleman",895.374213
7813296,"rektygon",884.211390
7780605,"Fleh",868.875422
8660293,"willy0214",868.691405
14215850,"bunnylikemoney",860.047913
124493,"chocomint",810.301986
9269034,"Accolibed",797.617417
5981005,"gamer228666",796.718123
4787150,"Vaxei",728.281232
8640970,"enri",726.357028
5339515,"Mathi",698.298560
13609904,"PinkEyeFan2013",682.689448
10743390,"RafaMat",678.705147
11375105,"lolol233",671.999994
13767572,"Saiyku",628.181772
3765989,"okinamo",541.288424
1492995,"zonelouise",540.910029
4108547,"WindowLife",499.213278
9224078,"FlyingTuna",494.565979
13300203,"yary",477.256686
2546001,"Intercambing",472.476833
5199332,"Chicony",446.391629
15885344,"nooneloves",436.194026
9712285,"desuqe",436.052849
12118967,"Zentoro_",434.682042
15225729,"-IZZY",431.634676
3345902,"Varvalian",428.849855
7959945,"calebshucks",425.208073
3171691,"BTMC",418.981406
8116659,"criller",417.958484
8799923,"Suyong_",415.626569
16139008,"sharytory",413.615292
4734703,"NathanRam1918",410.471854
1860489,"_Shield",408.318488
5527745,"Abyssal",406.830032
2932510,"wuhua",389.645482
6157605,"Topoi",381.067158
15339747,"runnysunny",368.311814
11553627,"Jemzsee",368.053712
2558286,"Rafis",365.589476
2012453,"PikaPwn",361.171272
10077132,"monte",352.508712
13057699,"z9a",350.121885
4209965,"Bonk",343.505861
16320893,"Dever",339.128909
4511522,"Doomsday fanboy",338.067881
9211924,"Melvr",335.791840
14992852,"lil bread",329.085085
12366071,"nanoya",326.834616
7075211,"tekkito",324.642256
14097024,"thank you",315.914836
284905,"Ekoro",310.289748
14676719,"TTv_UFO",308.481221
12873118,"smozhen",306.911980
11399348,"fragranceofpage",301.941782
4928776,"AxewB",299.228176
14503423,"misha awa",298.508106
15293080,"clafrelys",298.214983
4830687,"BoshyMan741",296.833770
6788821,"Dempsey",289.498404
6524092,"VoProSSoFF",287.238045
6304246,"puppy",285.833427
11552867,"Welter",285.792088
13108233,"liliel",284.619906
26442115,"cloudie",279.793684
19256705,"Cymango",278.616584
2214428,"Shower Head",278.184846
6646269,"1v9",278.035341
11367222,"lifeline",272.336382
12197743,"kotkotyar",271.017272
10651106,"Pezz",268.530248
8856806,"ChocoPafe",267.100530
5033077,"Zylice",266.202207
11509631,"Hagawobla",266.104232
15406985,"Ivaxa",261.283315
612898,"nicki1324",261.083494
2291265,"Arnold24x24",257.371736
11215030,"Arge",255.796424
18153252,"z10a",246.839200
10549880,"NINERIK",243.934923
7972980,"-Din-",243.170309
9459674,"maxim",242.815415
15908405,"My Angle Okayu",238.781104
10760701,"hexi",236.546528
13304804,"sarboggly",236.248080
1876565,"Mastasz",234.816286
21811804,"Akuma no Tenshi",234.447291
12976255,"NYASH",233.707488
9938943,"aknzx",233.205068
4256461,"Riot",230.275336
9265990,"rng_",225.056280
10634348,"EthantrixV3",224.665270
3792472,"Woey",223.078187
2094566,"FGSky",220.168492
12952320,"aimbotcone",214.006136
4170932,"Red_Pixel",213.413024
7627844,"Mahmood",211.116488
9072586,"Andros",205.791742
16870029,"vljoy209",203.862688
7341471,"Seiong",199.091304
17462509,"MiMiTooU",198.133243
21619075,"def",194.369014
11819046,"WhiteWoofWoolf",192.519142
9405745,"scylla",192.517880
20501126,"6Nusu9",190.880200
8696866,"nicebroccoli",189.603099
5423872,"ruirui",188.492616
8251785,"killer2007",187.893198
7918057,"Shyot73",185.401487
11207004,"tfge",184.635058
4581069,"etn",183.120552
19827029,"fallenbtw",178.349005
15422323,"-Legoshi-",175.863725
11684622,"Sh4rq_",175.510128
11592896,"fudge",173.656723
18903701,"Dreamz",170.579430
5326197,"Invoker",169.238936
14249222,"Ethan2222",169.036671
7724148,"hoanito",166.855136
2511839,"NeliNyan",165.209888
4175698,"sytho",162.368326
19026367,"Cossin",161.494363
10092099,"Pablohh",160.434720
11983229,"Norlain",158.647816
29055863,"Mintimus",156.826520
23925029,"Kyros_",156.406429
9227895,"LordGabriel",155.659552
16348690,"Adomeium",153.869621
8788058,"Jakson",153.865080
13380270,"Kama",151.029824
7961288,"Kluchen",148.438624
9508109,"onetabby",146.579668
11234706,"ZeitFrost",146.254656
5218178,"MALTESER",144.863213
10903510,"trumpatino69",144.610670
12378737,"Ryugia",144.016296
9313951,"Tsuwagi",143.837984
8454773,"MegaMK",141.479488
12241010,"Tutel",141.181040
5477343,"kurtis-",140.285696
2766034,"Umbre",137.604205
15816872,"Ledeau_Fox",136.851022
14919428,"Aheo",136.075435
1473890,"badeu",135.029984
9993348,"ur cute",133.784070
11921197,"Shiox",133.295504
6404488,"bocchicookie",132.082160
11410595,"Niali",130.586136
12796317,"oPixay",130.105592
7410343,"Xaver",129.978022
12420904,"gakuw",129.090112
14385814,"Tim Kackner",128.527602
16900233,"awesome sauce",128.494478
2802727,"DarthInvaderZim",127.754664
18131614,"polski1",127.597872
7108275,"i love manosaba",123.572608
9203793,"xep",123.270376
12252724,"honque",123.121329
11604978,"perthed again",122.524256
11195861,"GodRoPoNiKa",122.233376
13065919,"R1cho",121.033278
10270787,"Mekeyo",120.438904
11626318,"reused",120.283374
11345690,"velcro shoes",119.541038
12736534,"treyarch",119.390552
3162741,"Aotoleen",119.212240
12779141,"gnahus",117.898312
5774823,"Rupertion",117.546229
3533958,"fieryrage",116.941220
5177569,"yip",115.481640
17446380,"bananachi",115.063056
12970596,"Gurbzy",114.768392
8529128,"Victoor",114.022272
11481765,"RafuNa",113.570816
9818947,"Zpinxx",111.630904
16800870,"alexsandll",111.071689
11269055,"Swiq",110.437112
4141918,"Thundur",109.396328
2675255,"hqshe",109.091574
6668666,"Cappy",107.904088
7333471,"nuxx",107.601856
1336437,"gusrua123",106.561072
17649390,"pupusa",106.457701
10223298,"NOUMEN BREAK",106.109616
15701343,"Lightningfox",105.960392
1419095,"Aricin",105.719869
15567583,"MYKEYBOARD",105.661944
5154946,"Bernkastel",105.478323
17707250,"aspen",105.478323
11962818,"flowering",105.478323
11198996,"A21",105.478323
6479616,"Mornis",105.214272
18111064,"eruhar",105.068832
10145502,"WooperFan1",104.964704
6600930,"yamss",104.827046
10966088,"splenty",104.621160
4470775,"razorfruit",104.439064
19998548,"suntanCTM",104.318928
12353810,"papercandle",104.287318
16416081,"Rinko Shirokane",103.427368
7818990,"Cheyne",103.278144
9254536,"khz",102.826688
6922333,"yadon",102.794028
7027766,"Chipori",101.383328
10925451,"Mitage",101.185224
11456186,"nevergrace",101.033478
2184751,"Maxe191",100.883169
9820878,"Kotsik",100.741336
8581210,"8581210",100.287358
14547194,"Azertyran",100.141413
16385977,"CBarAM06uJlb",99.692984
7806847,"suly",98.645894
14277157,"Nailer",98.048998
18946207,"nekore",97.603848
7892320,"Zeisen Udongein",97.454624
6399568,"YokesPai",97.451017
14436159,"kt09-",97.451017
7101953,"MAKCOH",97.302878
9896317,"RyooYamada",97.302878
11243772,"reimia",97.004430
4845266,"haruchi",95.510928
3126596,"Mlaw",95.365488
11883736,"towren",95.055297
8868635,"Egor",94.616846
16178978,"Anirium",94.320920
16529875,"Wanderio",93.873248
6114695,"ciru",93.809617
12179012,"Rinnu",93.516624
13062430,"marcel7",93.127128
7280590,"-DEVN",92.977904
4250296,"thaibuy",92.977904
4301976,"Hifkil",92.590678
11159039,"Yseri",92.437670
13068741,"LyeRR",92.378486
8666950,"karate",92.082777
10890712,"Tonnisdk",91.632366
5645231,"decaten",91.396886
13586618,"taro",90.441096
12088216,"Lewis Hamilton",88.795848
1906975,"Hellotomlol225",88.501184
7438459,"ricoel",87.751457
9276293,"EzChock",87.307392
31507014,"kemsi",87.005160
2944449,"marwin",86.557488
11843859,"TacosCordoba",85.811368
14267996,"Cocali",85.665928
4682646,"maxbireo",85.665928
10567112,"Alfrah",85.516704
11310423,"ozy",85.516704
7246165,"Kageno",85.512920
3149577,"Coreanmaluco",84.770584
9797230,"Gameroft",84.617576
9513980,"Tartis",84.617576
9052194,"Allegrissimo",84.290040
10073635,"dench",84.024464
10975777,"CutPaper",84.020857
7525949,"shimon",83.573008
17724014,"alfiu",83.427568
19851850,"cloppit",82.979896
17485776,"L1ssak",82.831429
16774872,"skia1",82.518712
12110337,"Binninja",82.234533
3730848,"mx10000",81.782320
23162589,"DP285",81.487656
7657831,"justman",81.249654
10199538,"SL1PER",81.189208
9902255,"Apostol",80.439304
9961301,"Daisuke Narotan",79.696968
17008453,"slimwish",78.595575
8335950,"Reedkatt",78.350168
13484596,"Impowster",77.607832
12667143,"Rykic",77.007909
19577872,"Reisen-Desu",76.735648
14844399,"Nazuna Nanakusa",76.735648
14232033,"AC_",76.735648
8725569,"Yuena Shimizu",76.735648
18386465,"David Seymour",76.735648
14582697,"HeyCat_",76.735648
13245208,"netraena",76.735648
17440191,"Equidimensional",76.735648
11987104,"Eagle5324",76.530392
9783155,"NieTheDie",75.365688
25626082,"Satsukiiii",75.365688
11684952,"VineOpoly",74.619568
8198848,"Sawada",74.171896
11351654,"Epes",74.022672
14457718,"wuk",73.426533
3772251,"Ephix",73.425776
22274174,"CUPSIZEFAN",73.280336
21207816,"bored yes",73.131112
16263219,"[Eclipse]",72.981888
4196808,"Karthy",72.978104
5155973,"Rizer",72.832664
13518421,"Komaeda",72.679656
11811792,"Sorae",72.530432
11466630,"xoxyl",72.086544
10069909,"GNX",71.785069
18092331,"Lesperry",71.635088
30947671,"ecca",71.098638
12254421,"ZaNy_",69.695176
10652837,"Rammu",69.098280
20250190,"orngoos",69.098280
17917574,"eddy",68.561830
11828209,"Aerodite",68.352917
17411830,"SIDETRACKEDDAY",67.606040
9585479,"FlojoCosmico",67.606040
10963480,"N I K I T A",67.606040
17730661,"OnlyHadley",66.857398
16616677,"CyberOni",66.857398
10188022,"-Hirata",66.857398
14176480,"Raspigaous",66.857398
10333154,"synoxa",66.857398
7613309,"matcha",66.857398
11930908,"AdrianLabubu67",66.857398
19359793,"Singapure-",66.565256
12595640,"Bajan Canadian",65.964576
11948617,"Saymel",65.964576
13353696,"tortelliniii",65.516904
3036545,"975250450",65.405361
11750028,"Thuya",65.218456
16620877,"Zever",65.218456
1023489,"respektive",65.218456
11971304,"JeadIng",65.218456
9719351,"minefieldsurfer",64.173888
12855946,"Nagisa Okazaki",64.173888
14490563,"manicmacho",64.144800
12270069,"CpxG",64.024664
20272827,"Erick71208",63.726216
15525103,"cr4shz1",63.278544
13539892,"meramin",63.278544
14579151,"Turles",63.278544
18275201,"xside365",63.278544
21178407,"roptant",63.278544
4495889,"Unexpected",62.830872
5717619,"stubbie",60.890960
7611178,"coughing baby",60.264976
4432408,"Toesu",59.697925
9642774,"milktea0019",59.398720
20315228,"elituqinn",58.951048
24486749,"AstroVnz",58.801824
15537480,"VIaddex",58.503376
14945721,"Raidd",58.503376
19887342,"Hober38",58.354152
10345787,"obkatiekat",57.906480
6292501,"Possu",57.309584
18922516,"viciobylike",56.861912
11715109,"AlmightyDoor",56.559857
6752116,"Arraxey",56.559857
12904237,"stupid dog",56.559857
11042418,"lystia",56.559857
9737185,"ch0co",56.559857
14282987,"szedis",56.265016
9561644,"AllyrD",56.265016
17548061,"ikuyokita",56.115792
13467691,"Naiwo",55.937480
16564766,"zhunque",55.220448
24270105,"-lion",54.236326
10077431,"plambob",54.022872
17099895,"humane_007",53.877432
11584669,"marzey",53.877432
2533400,"Cerkie",53.877432
6090175,"lolol235",53.877432
4361729,"Wario",53.578984
7422021,"Lane",53.425976
11021073,"baoo",53.425976
13407873,"Ex Merami",53.425976
15802126,"Nederland",53.425976
11479551,"[Q]",53.425976
4383303,"Kokuban",53.280536
14709263,"manosaba",53.131312
10665363,"JGLF",52.683640
13735210,"TheKusoAimer",52.683640
18003450,"slapshot",52.385192
13175328,"Bertilly",52.235968
4389490,"Alice Carroll",52.086744
10531825,"Lawndred",52.086744
7774197,"Endura",51.937520
11375251,"Amasetic",51.784512
5370153,"Exarch",51.489848
7469192,"nobully",51.489848
6725771,"ferret irl",51.191400
13623476,"koyo",51.191400
16425951,"Lu2nar",51.191400
7141342,"Kippz",51.191400
16779690,"Exalon",51.191400
17213856,"Gloving Legend",49.997608
6942259,"Rebo",49.997608
12352050,"aurora on osu",49.549936
10902307,"UselessJohn",49.549936
12211248,"Hanayume",49.549936
18047920,"Froinks",49.400712
14252070,"sybau technique",49.102264
3163649,"GfMRT",49.069392
5286213,"Deppyforce",49.069392
14438574,"Ravexi",49.069392
1646397,"Crystal",49.069392
11940767,"Carlosflow",49.069392
8698024,"defii",49.069392
11317547,"Luccachu",49.069392
13212181,"Zanzabar",48.803816
11580377,"aidinth",48.800032
7341081,"Tikkanen",48.356144
12776754,"Joyi",47.908472
754565,"Dustice",47.904688
5724445,"MrFuture",47.606240
7342622,"Freddie Benson",47.606240
7351448,"fedotoff",47.311576
8370755,"_Twent",47.013128
1389663,"talala",47.009344
5447609,"Demonical",46.860120
11800154,"Sherbet",46.416232
4750008,"Skydiver",45.815552
10196805,"angelkanna",45.815552
3995630,"Rampax",45.815552
10807597,"-Ke15",45.815552
1501956,"Fuma",45.815552
18217876,"ESCRUPULILLO",45.666328
13056953,"Toy0Ta",45.073216
14139392,"Bazingasdead",43.278744
21706207,"gionuaS",42.234176
17851835,"bern1sh",42.234176
3517706,"[ Zane ]",42.084952
23640655,"spiky",41.338832
12204079,"Blah",41.338832
15429006,"palr",41.040384
5242158,"[Crz]Makii",40.891160
673549,"flansl",40.294264
11415230,"Gambler",40.294264
