userId,username,totalPoints
12408961,"MALISZEWSKI",6855.836271
7562902,"mrekk",6821.084291
1719471,"EZChamp",3749.869134
8007528,"Raikouhou",2291.483989
11443437,"[Karcher]",2273.681669
8472976,"Suyung_",2165.346372
16817965,"Kamensh1k",2118.928480
9849451,"NaPiii_",1846.722475
14106450,"worst hr player",1775.339968
12159899,"MineFrostID",1771.828583
2165650,"mcy4",1756.358058
4504101,"WhiteCat",1623.813601
7512553,"Utami",1582.674336
7341183,"ASecretBox",1574.664037
3717598,"xootynator",1568.237511
14215850,"bunnylikemoney",1544.945514
7813296,"rektygon",1490.460447
5339515,"Mathi",1387.651850
5182050,"Bubbleman",1366.648688
124493,"chocomint",1251.550376
4787150,"Vaxei",1250.981721
7780605,"Fleh",1249.267418
8640970,"enri",1178.320500
8660293,"willy0214",1138.199339
5981005,"gamer228666",1132.127857
9269034,"Accolibed",1115.481015
13767572,"Saiyku",1022.073862
10743390,"RafaMat",1003.037502
13609904,"PinkEyeFan2013",994.083562
4108547,"WindowLife",955.629084
11375105,"lolol233",919.800861
1492995,"zonelouise",901.460857
3765989,"okinamo",877.180845
4734703,"NathanRam1918",819.233698
9224078,"FlyingTuna",817.731750
2012453,"PikaPwn",807.178037
3171691,"BTMC",778.455417
2546001,"Intercambing",759.521855
3345902,"Varvalian",752.451419
2932510,"wuhua",748.088296
1860489,"_Shield",746.348234
8116659,"criller",741.821267
14992852,"lil bread",714.609491
10077132,"monte",700.636131
9712285,"desuqe",699.911722
12118967,"Zentoro_",694.534071
5199332,"Chicony",678.007902
13057699,"z9a",674.421525
13300203,"yary",654.172223
15885344,"nooneloves",646.025302
15225729,"-IZZY",644.302673
2558286,"Rafis",641.996535
11399348,"fragranceofpage",596.231693
7959945,"calebshucks",592.448082
5527745,"Abyssal",583.403419
7075211,"tekkito",582.032933
8799923,"Suyong_",581.726727
16139008,"sharytory",576.043313
6157605,"Topoi",570.240591
15339747,"runnysunny",561.057949
4511522,"Doomsday fanboy",556.033599
4928776,"AxewB",551.622967
9211924,"Melvr",549.995736
10634348,"EthantrixV3",543.261277
11553627,"Jemzsee",516.272705
11552867,"Welter",506.354320
12366071,"nanoya",505.575691
7918057,"Shyot73",497.735547
6646269,"1v9",496.826063
14503423,"misha awa",491.906877
